'tagfield','tagsubfield','name','repeatable','mandatory'
'270','e','Postkode',0,0
'270','i','Adressetype',0,0
'270','k','Telefonnummer (R)',1,0
'270','l','Telefaksnummer (R)',1,0
'270','m','E-post adresse (R)',1,0
'270','p','Kontaktperson (R)',1,0
'270','z','Note',0,0
'300','a','Omfang.',0,0
'300','b','Illustrasjonsmateriale og andre fysiske detaljer.',0,0
'300','c','Format.',0,0
'300','e','Bilag.',0,0
'306','a','Varighet (R)',1,0
'310','a','Periodisitet.(R)',1,0
'350','a','Pris. (R)',1,0
'350','b','Fysisk beskrivelse.(R)',1,0
'362','a','Numeriske og/eller alfabetiske og kronologiske betegnelser.(R)',1,0
'440','a','Serietittel.(1.6B-1.6D)',0,0
'440','c','Ansvarsangivelse. (1.6E)',0,0
'440','n','Underseriens alfabetiske eller numeriske betegnelse.',0,0
'440','p','Tittel for underserie.',0,0
'440','v','Nummerering innen serien.',0,0
'440','w','Sorteringsdelfelt for delfelt $a.',0,0
'440','x','ISSN.',0,0
'440','y','Nummerering i underserien.',0,0
'490','a','Serietittel.',0,0
'500','a','Notens tekst',0,0
'501','a','Notens tekst',0,0
'502','a','Notens tekst',0,0
'503','a','Notens tekst',0,0
'505','a','Notens tekst',0,0
'508','a','Notens tekst',0,0
'510','a','Notens tekst',0,0
'511','a','Notens tekst',0,0
'512','a','Notens tekst',0,0
'516','a','Notens tekst',0,0
'520','a','Notens tekst',0,0
'521','a','Notens tekst',0,0
'525','a','Notens tekst',0,0
'530','a','Notens tekst',0,0
'531','a','Notens tekst',0,0
'532','a','Notens tekst',0,0
'533','a','Notens tekst',0,0
'538','a','Notens tekst',0,0
'539','a','Notens tekst',0,0
'546','a','Notens tekst',0,0
'571','a','Notens tekst',0,0
'572','a','Notens tekst',0,0
'573','a','Notens tekst',0,0
'574','a','Notens tekst',0,0
'600','a','Navn.',0,0
'600','b','Nummer.',0,0
'600','c','Andre tilføyelser.',0,0
'600','d','Årstall forbundet med navn.',0,0
'600','i','Serienummer, opusnummer, nummer fra verkfortegnelse. (25.31A1-A4) [Mus]',0,0
'600','j','Nasjonalitet.',0,0
'600','m','Besetning.(25.29) [Mus]',0,0
'600','n','Nummer for del av verk.',0,0
'600','o','Arrangement.(25.31B2) [Mus]',0,0
'600','p','Tittel for del av verk.',0,0
'600','q','Mer fullstendig navneform.',0,0
'600','r','Toneart. [Mus]',0,0
'600','t','Tittel for dokument som er emne.',0,0
'600','u','Sorteringsdelfelt for delfelt $t.',0,0
'600','v','Form underavdeling.',0,0
'600','w','Sorteringsdelfelt for delfelt $a.',0,0
'600','x','Underavdeling. (R)',1,0
'600','y','Kronologisk underavdeling. (R)',1,0
'600','z','Geografisk underavdeling. (R)',0,0
'600','0','Kvalifikator. (R)',0,0
'600','1','Klassifikasjonskode.',0,0
'600','2','Kilde for emneinnførselen.',0,0
'600','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'600','8','Andre karakteristika forbundet med navn.',0,0
'610','a','Navn.',0,0
'610','b','Underavdeling.',0,0
'610','c','Sted. (R)',1,0
'610','d','Dato. (R)',1,0
'610','g','Diverse opplysninger. (R)',1,0
'610','i','Serienummer, opusnummer, nummer fra verkfortegnelse.',0,0
'610','m','Besetning. [Mus]',0,0
'610','n','Nummer.',0,0
'610','o','Arrangement.[Mus]',0,0
'610','q','Forklarende tilføyelse',0,0
'610','r','Toneart.(25.31A5) [Mus]',0,0
'610','t','Tittel for dokument som er emne.',0,0
'610','u','Sorteringsdelfelt for delfelt $t.',0,0
'610','v','Form underavdeling.',0,0
'610','w','Sorteringsdelfelt for delfelt $a.',0,0
'610','x','Underavdeling. (R)',1,0
'610','y','Kronologisk underavdeling. (R)',1,0
'610','z','Geografisk underavdeling. (R)',1,0
